iter	MultiClass
0	1.09020443
1	1.082902542
2	1.074628583
3	1.067766248
4	1.062018855
5	1.054836471
6	1.047430792
7	1.04005475
8	1.032732682
9	1.025942846
10	1.019798589
11	1.013768541
12	1.006677928
13	1.000987391
14	0.9941939055
15	0.9866256579
16	0.9798636498
17	0.9734388517
18	0.9669536117
19	0.9614258247
20	0.956597891
21	0.9497178843
22	0.9429763218
23	0.9363564311
24	0.9306463314
25	0.9246473899
26	0.9195886734
27	0.9145635672
28	0.9092566934
29	0.9035981421
30	0.8981079063
31	0.8926806263
32	0.8875124221
33	0.8824692953
34	0.8767205387
35	0.8708259934
36	0.8653180524
37	0.8607321425
38	0.8547074469
39	0.8498849213
40	0.8442805184
41	0.8381717788
42	0.833620272
43	0.828115782
44	0.8233729013
45	0.8185124467
46	0.8141540181
47	0.8089398896
48	0.8036736365
49	0.7982951075
50	0.7932618743
51	0.7893031068
52	0.7845243062
53	0.7797214699
54	0.7757490668
55	0.7705908711
56	0.7662967233
57	0.7626375541
58	0.7591381568
59	0.7547454176
60	0.7501804212
61	0.7455997667
62	0.74181816
63	0.7382413903
64	0.7349389398
65	0.7301189225
66	0.7263299643
67	0.7220822134
68	0.7176520729
69	0.7138980931
70	0.7101678341
71	0.7059940411
72	0.7022537706
73	0.6987870512
74	0.6948103142
75	0.6909017518
76	0.6865340048
77	0.6819335169
78	0.6777031778
79	0.6741261984
80	0.6707077229
81	0.6666206708
82	0.663302767
83	0.6598181813
84	0.656393364
85	0.6530262513
86	0.6493472266
87	0.6458700991
88	0.642760954
89	0.6395566034
90	0.6361592873
91	0.6328538423
92	0.6290858775
93	0.625475828
94	0.6223341428
95	0.6191480399
96	0.6160522005
97	0.6131021138
98	0.6102062821
99	0.6062337877
100	0.602945267
101	0.6006084933
102	0.5974628318
103	0.594496318
104	0.5916054139
105	0.5887934718
106	0.5854840392
107	0.5825243657
108	0.5799705193
109	0.5770986482
110	0.5738771552
111	0.5705709933
112	0.5682308528
113	0.5653205168
114	0.5622561348
115	0.5593231601
116	0.5568458023
117	0.5535174129
118	0.5512469362
119	0.548651204
120	0.5461547904
121	0.5438121061
122	0.5412993901
123	0.5391519301
124	0.536526043
125	0.5341721873
126	0.5319701674
127	0.529815139
128	0.5276012965
129	0.5247845987
130	0.5224010746
131	0.520154964
132	0.5184661755
133	0.5161077964
134	0.5142142378
135	0.5118109207
136	0.5097009656
137	0.5072153229
138	0.504373897
139	0.5020966506
140	0.499817541
141	0.4976050126
142	0.4954435148
143	0.4935417275
144	0.4909400177
145	0.4887670272
146	0.4861566166
147	0.4839227999
148	0.4816564614
149	0.4794381202
150	0.477422298
151	0.4756664298
152	0.4733545924
153	0.4715202695
154	0.4694462991
155	0.4674588036
156	0.4655421485
157	0.4638157951
158	0.4617422043
159	0.4598312434
160	0.4582142163
161	0.4559576658
162	0.4538767096
163	0.4519770639
164	0.4499826579
165	0.447894772
166	0.4458791712
167	0.4439026906
168	0.4423010325
169	0.4407342961
170	0.4391038549
171	0.4369531986
172	0.4350767256
173	0.4332874681
174	0.431513886
175	0.4300648323
176	0.4286301023
177	0.4264778593
178	0.4249762066
179	0.4232878468
180	0.4212845587
181	0.4196411178
182	0.4175160039
183	0.4157551936
184	0.413736345
185	0.411954039
186	0.4106123461
187	0.4087660824
188	0.4071708531
189	0.4054107206
190	0.4039040304
191	0.4025289102
192	0.401076087
193	0.3993144844
194	0.3977701624
195	0.3961267805
196	0.3943746156
197	0.3927962605
198	0.3911004203
199	0.38975815
200	0.3885524697
201	0.3871019936
202	0.385440551
203	0.3840150423
204	0.3826596902
205	0.3811655743
206	0.3798226856
207	0.3786878378
208	0.3770713954
209	0.3757517643
210	0.3742957528
211	0.3730637926
212	0.3718600533
213	0.3706248666
214	0.3696432264
215	0.3679626989
216	0.3664232775
217	0.3650277184
218	0.3635336457
219	0.3622142919
220	0.3609871692
221	0.3597313081
222	0.3584391654
223	0.3569672798
224	0.3554776641
225	0.3543065213
226	0.3532083096
227	0.3518895659
228	0.3507234692
229	0.3491060635
230	0.3482745381
231	0.3469931798
232	0.3455161314
233	0.3441659272
234	0.3429668118
235	0.3417106687
236	0.3407748816
237	0.3396046177
238	0.3384367211
239	0.3371266747
240	0.3361126293
241	0.3350068832
242	0.3340820463
243	0.3329273603
